date_mutation;valeur_fonciere;code_postal;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;surface_terrain;latitude;longitude
21/01/2019;;75001;2;Appartement;25;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;24;1;424;48.862541;2.341063
21/01/2019;;75001;2;Appartement;24;1;424;48.862541;2.341063
06/02/2019;613000;75008;2;Appartement;69;4;;48.880365;2.315098
01/02/2019;250000;75001;2;Appartement;21;1;;48.862374;2.339872
06/02/2019;200;75008;3;Dependance;;0;;48.875859;2.317793
14/01/2019;1451000;75008;2;Appartement;140;3;;48.876718;2.303313
14/01/2019;1451000;75008;3;Dependance;;0;;48.876718;2.303313
08/02/2019;270000;75001;2;Appartement;18;1;;48.866199;2.335313
24/01/2019;695000;75003;2;Appartement;73;2;;48.862137;2.355151
06/02/2019;300000;75008;2;Appartement;31;2;;48.881218;2.321152
24/01/2019;6000;75008;2;Appartement;171;6;;48.879862;2.315742
24/01/2019;2290000;75008;2;Appartement;171;6;;48.879862;2.315742
28/01/2019;75000;75008;3;Dependance;;0;;48.873786;2.302619
07/02/2019;291400;75003;2;Appartement;23;1;;48.864481;2.359558
01/02/2019;492500;75008;4;Local_indu_com_ou_assimile;52;0;;48.873615;2.322213
15/01/2019;257000;75008;2;Appartement;22;1;;48.875981;2.323241
21/01/2019;235100;75003;2;Appartement;23;1;;48.863613;2.356857
12/02/2019;465600;75001;4;Local_indu_com_ou_assimile;159;0;;48.864542;2.330586
31/01/2019;3400000;75008;4;Local_indu_com_ou_assimile;100;0;128;48.877168;2.322082
31/01/2019;3400000;75008;4;Local_indu_com_ou_assimile;464;0;128;48.877168;2.322082
31/01/2019;3400000;75008;4;Local_indu_com_ou_assimile;464;0;128;48.877168;2.322082
31/01/2019;3400000;75008;4;Local_indu_com_ou_assimile;17;0;128;48.877168;2.322082
24/01/2019;240000;75008;2;Appartement;18;1;;48.868965;2.305181
29/01/2019;16500;75003;4;Local_indu_com_ou_assimile;12;0;;48.856826;2.36355
