valeur_fonciere,code_postal,type_local,surface,nombre_pieces_principales,month,year
609000,78530,0,83,3,5,2020
274000,75003,0,1272,1,2,2019
274000,75003,0,1272,1,5,2020
273000,78380,0,42,2,2,2019
273000,78380,0,42,2,5,2020
1493350,75008,0,1272,5,1,2019
1493350,75008,0,1272,5,5,2020
440000,92000,0,86,4,1,2019
440000,92000,0,86,4,5,2020
480000,75008,2,1272,7,1,2019
480000,75008,2,1272,7,5,2020
1456000,78230,1,300,8,1,2019
1456000,78230,1,300,8,5,2020
480000,75008,0,1272,2,1,2019
480000,75008,0,1272,2,5,2020
230000,78300,0,61,3,1,2019
230000,78300,0,61,3,5,2020
500000,75008,0,1272,4,2,2019
500000,75008,0,1272,4,5,2020
1248000,78114,1,180,6,2,2019
1248000,78114,1,180,6,5,2020
1314518,75008,2,1272,7,2,2019
1314518,75008,2,1272,7,5,2020
230000,91940,5,584,4,2,2019
230000,91940,5,584,4,5,2020
1314518,75008,0,1272,6,2,2019
1314518,75008,0,1272,6,5,2020
1050000,75011,0,86,3,2,2019
1050000,75011,0,86,3,5,2020
436000,78910,1,212,10,2,2019
436000,78910,1,212,10,5,2020
4150000,75001,3,1272,7,1,2019
4150000,75001,3,1272,7,5,2020
230000,91400,5,596,4,1,2019
230000,91400,5,596,4,5,2020
272450,75003,3,1272,7,1,2019
272450,75003,3,1272,7,5,2020
35000,77870,5,2335,4,1,2019
35000,77870,5,2335,4,5,2020
340000,75008,0,1272,2,1,2019
340000,75008,0,1272,2,5,2020
265000,95870,0,62,3,1,2019
265000,95870,0,62,3,5,2020
320000,75001,3,1272,7,1,2019
320000,75001,3,1272,7,5,2020
125000,78520,0,41,2,1,2019
125000,78520,0,41,2,5,2020
274285,75001,0,1272,2,2,2019
274285,75001,0,1272,2,5,2020
167000,94800,0,25,1,2,2019
167000,94800,0,25,1,5,2020
2700000,75008,0,1272,6,1,2019
2700000,75008,0,1272,6,5,2020
660000,92130,0,72,4,1,2019
660000,92130,0,72,4,5,2020
4100000,75008,0,1272,3,1,2019
4100000,75008,0,1272,3,5,2020
289000,77240,1,127,5,1,2019
289000,77240,1,127,5,5,2020
4100000,75008,0,1272,1,1,2019
4100000,75008,0,1272,1,5,2020
505000,92130,0,49,2,1,2019
505000,92130,0,49,2,5,2020
4100000,75008,0,1272,2,1,2019
4100000,75008,0,1272,2,5,2020
384500,94130,0,57,3,1,2019
384500,94130,0,57,3,5,2020
139986,75003,0,1272,2,1,2019
139986,75003,0,1272,2,5,2020
420000,92250,0,50,2,1,2019
